Cultivo;Campa�a;Semana;Zona;Siembra;CC_Mala (%);CC_Regular (%);CC_Normal (%);CC_Buena (%);CC_Excelente (%);CH_Sequ�a (%);CH_Regular (%);CH_Adecuada (%);CH_�ptima (%);CH_Exceso (%);Expansi�n foliar (%);Comienzo de Floraci�n (%);Comienzo de Fructificaci�n (%);Comienzo de Llenado (%);Comienzo de Madurez (%);Cosecha (%)
Soja;2018/19;15;TOTAL;100;1.406.146.244;8.221.424.555;365.064.375;3.695.162.809;1.691.436.361;100.616.834;1.177.409.149;5.163.679.051;3.205.994.753;3.523.002.124;100;100;9.935.792.606;9.205.440.624;4.817.409.153;1.691.762.939
Soja;2018/19;14;TOTAL;100;1.335.734.543;7.673.419.219;3.877.099.581;3.686.353.742;1.535.631.301;1.479.468.704;1.006.836.509;503.856.511;3.392.093.125;4.145.583.858;100;100;9.719.917.635;8.609.240.345;3.467.206.695;6.429.296.445
Soja;2018/19;13;TOTAL;100;1.015.070.226;8.317.701.272;3.935.123.355;3.831.455.978;1.300.143.517;0.266620866;1.082.377.541;5.348.002.849;3.482.656.562;0.60300961;100;9.936.614.211;9.275.616.337;7.858.953.847;234.007.685;0
Soja;2018/19;12;TOTAL;100;0.678887476;8.878.702.093;3.756.418.679;3.861.188.896;1.426.633.468;0;4.778.259.995;4.680.905.046;4.366.930.401;4.743.385.531;100;9.836.458.602;8.826.016.126;6.821.229.511;1.521.775.682;0
Soja;2018/19;11;TOTAL;100;1.442.403.766;9.098.367.444;3.836.014.195;3.829.168.644;128.074.004;2.543.272.411;648.244.661;4.485.021.608;3.878.339.269;7.340.672.203;100;9.630.211.593;833.051.662;5.662.799.798;8.021.367.156;0
Soja;2018/19;10;TOTAL;100;0.648772618;7.800.201.186;3.941.145.536;3.713.456.036;1.500.501.048;0.590373823;7.853.980.638;5.488.775.605;319.891.164;4.678.773.094;100;9.321.566.436;7.699.627.219;4.495.327.096;3.679.125.047;0
Soja;2018/19;9;TOTAL;100;1.237.268.192;9.909.805.044;4.161.091.109;3.435.405.632;1.288.795.936;1.679.784.369;1.435.135.123;5.009.571.744;3.060.400.455;3.269.142.416;9.971.875.135;8.827.981.848;6.762.280.797;3.455.258.774;0.201090395;0
Soja;2018/19;8;TOTAL;100;1.640.041.073;1.105.244.684;4.192.828.198;3.493.089.774;1.044.833.237;3.715.055.367;2.457.628.609;4.884.403.128;2.066.594.433;2.198.682.938;9.971.875.135;8.376.573.446;5.594.516.017;2.545.545.345;0;0
Soja;2018/19;7;TOTAL;100;1.303.897.741;8.664.583.796;357.743.366;3.840.176.253;1.585.541.933;0.404955085;1.445.310.304;4.424.318.272;3.505.683.381;5.841.925.348;9.915.855.301;7.800.196.284;4.468.939.552;1.762.936.443;0;0
Soja;2018/19;6;TOTAL;100;134.140.275;7.702.458.889;4.219.761.629;3.735.963.846;1.139.888.362;0.098602637;5.075.409.416;3.373.935.154;510.890.519;9.997.584.501;9.737.970.908;7.118.570.867;3.452.513.352;1.116.563.158;0;0
Soja;2018/19;5;TOTAL;100;2.307.964.444;953.566.194;3.858.475.529;3.814.143.913;1.143.017.919;0;3.492.245.292;2.976.532.236;4.929.152.612;1.745.090.622;9.548.739.907;5.981.700.061;2.470.060.427;4.548.882.674;0;0
Soja;2018/19;4;TOTAL;99;2.516.108.351;8.945.811.573;3.548.658.686;4.126.520.308;1.178.629.014;0;1.601.202.651;3.141.675.574;5.267.149.055;1.431.055.106;9.193.694.971;4.901.503.015;1.704.081.476;0.741118644;0;0
Soja;2018/19;3;TOTAL;99;1.968.291.743;7.929.522.975;3.883.047.467;4.064.248.308;1.062.922.754;0;0.755143984;356.752.029;4.637.253.605;1.719.711.707;8.692.743.123;3.890.450.954;1.099.529.053;0;0;0
Soja;2018/19;2;TOTAL;96;0.793707175;8.278.369.271;4.214.355.373;4.221.474.058;6.569.629.238;0;3.165.999.341;4.565.038.738;3.742.490.663;1.375.870.664;8.016.269.125;2.913.989.617;5.424.542.485;0;0;0
Soja;2018/19;1;TOTAL;90;0.144348746;1.128.282.447;4.731.698.454;3.696.300.091;4.292.841.333;0;6.862.863.084;537.609.055;3.282.194.062;6.554.290.795;6.951.396.831;2.185.316.106;1.214.312.872;0;0;0
Soja;2018/19;52;TOTAL;83;1.062.270.768;150.130.585;5.290.201.623;279.679.932;30.546.613;0;7.308.400.793;5.557.114.348;294.214.519;7.699.003.834;5.307.070.944;1.473.249.286;0;0;0;0
Soja;2018/19;51;TOTAL;74;1.205.177.804;1.569.698.584;62.328.522;2.076.931.435;0;0;9.530.083.776;6.192.077.873;1.820.192.424;1.034.721.325;4.076.216.994;8.096.132.032;0;0;0;0
Soja;2018/19;50;TOTAL;69;1.109.312.589;1.454.019.714;6.451.174.392;1.983.874.635;0;1.113.647.223;1.562.623.534;6.340.142.796;148.093.829;504.930.657;3.188.769.315;3.945.459.291;0;0;0;0
Soja;2018/19;49;TOTAL;54;1.911.704.187;1.563.244.042;5.641.896.493;2.602.715.592;0.00973455;0.19902792;1.102.286.558;5.709.474.992;2.737.623.254;4.166.006.459;2.506.467.756;0.646778913;0;0;0;0
Soja;2018/19;48;TOTAL;41;0.507218319;1.439.285.572;6.106.992.156;2.338.564.353;0.644034916;0.24285975;8.012.158.352;4.721.820.591;3.708.011.552;743.943.544;1.705.619.916;0;0;0;0;0
Soja;2018/19;47;TOTAL;30;3.509.424.386;2.071.640.502;5.870.005.337;1.707.411.723;0;0.85243979;5.939.296.733;4.584.459.867;4.029.481.565;7.068.849.159;9.615.477.237;0;0;0;0;0
Soja;2018/19;46;TOTAL;22;0.837747847;8.276.580.935;6.402.879.409;2.685.687.713;0;0;0.855506812;5.340.316.475;2.760.612.228;1.813.520.616;3.454.423.696;0;0;0;0;0
Soja;2018/19;45;TOTAL;9;0;2.209.305.004;7.589.144.638;1.895.573.807;2.943.509.818;0;1.134.892.273;6.646.110.703;2.181.504.456;0.371028505;0.507715596;0;0;0;0;0
Soja;2018/19;44;TOTAL;4;0;1;75;17;7;0;15;60;25;55;0;0;0;0;0;0
